sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score
219	GAPDH	2597	9606	IL-1alpha	3552	9606	no_interaction	pull_down	pull-down	GAPDH (which does not interact with IL-1alpha) was detected with a stronger signal intensity in the flow-through fraction, whereas extremely low signal intensity was detected in the elution fraction (Fig.	2a).	2a).	38225348	PMC10789739	Analysis of the effects of importin alpha1 on the nuclear translocation of IL-1alpha in HeLa cells	CLAIM:000102424:0-1	PAIR2:GENE:2597|GENE:3552	CLAIM:000102424	e13209ba7f4ad535f2a03bb0fdfa6780493e83ea	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
220	DOCK4	238130	10090	Nav1.9	24046	10090	no_binding	coIP	co-immunoprecipitation	In co-IP experiments utilizing the DOCK4 antibody for pull-down, a potential interaction between DOCK4 and Nav1.7 was observed, with no detectable binding to TRPV1, TRPA1, TRPM3, Nav1.6, Nav1.8, and Nav1.9 in mouse DRG protein extracts (Fig.	To investigate the underlying mechanism by which DOCK4 controls pain sensation, we employed the co-immunoprecipitation (co-IP) method to examine the interactions between DOCK4 and key channels involved in pain signaling, including TRP channels (such as TRPV1, TRPA1, and TRPM3) and Nav channels (such as Nav1.6, Nav1.7, Nav1.8, and Nav1.9) in the DRG.	5a-d).	40759894	PMC12322138	Histone lactylation regulates DOCK4 to control heat nociception and supports Dynein-mediated Nav1.7 trafficking	CLAIM:000171925:0-1	PAIR2:GENE:238130|GENE:24046	CLAIM:000171925	bf6d3782db451be34d40bb7eefd0f5e59316565b	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
221	PDEF	25803	9606	MYC	4609	9606	no_binding	coIP	co-immunoprecipitation	Results of the Co-IP assay showed that PDEF did not interact with MYC but interacted with the regulatory region of MAD1 in ER-negative BC cells.	PDEF positively regulated MYC expression and negatively regulated MAD1 expression.	These results suggest that PDEF indirectly upregulates MYC expression by disrupting MAD1 expression.	30217192	PMC6138935	AR-PDEF pathway promotes tumour proliferation and upregulates MYC-mediated gene transcription by promoting MAD1 degradation in ER-negative breast cancer	CLAIM:000094332:0-1	PAIR2:GENE:25803|GENE:4609	CLAIM:000094332	d1e24f55f5b9e9086c72eb34585d44c815ce471b	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
222	CBP	1387	9606	KLF3	51274	10090	no_binding	coIP	co-immunoprecipitation	Interestingly, KLF3 and CBP do not directly associate with each other through endogenous co-IP experiments.	Because KLF3 is necessary for CBP localization to KLF3-bound enhancers, we asked whether KLF3 directly recruited CBP to enhancers.	It is possible that the KLF3 and CBP interaction is extremely transient or weak.	32659720	PMC7358749	KLF3 Mediates Epidermal Differentiation through the Epigenomic Writer CBP	CLAIM:000269425:0-1	PAIR2:GENE:1387|GENE:51274	CLAIM:000269425	1260ae730c59c9906ff7e3acd6ed13c553a7f177	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
223	RDH10	157506	9606	RDHE2	195814	10090	no_binding	coIP	pull-down	Pull-down assays using RDH10 protein as a bait failed to co-immunoprecipitate human RDHE2 or human retinol dehydrogenase 11 (RDH11), an enzyme from a different family of SDRs (SDR7C1), further indicating that the protein-protein interaction between RDH10 and DHRS3 is highly specific for this pair of proteins.	Co-expression of human RDHE2 or murine RDHE2S with human DHRS3, which is 97.7% identical to murine DHRS3, in HEK293 cells had no activating effect on DHRS3.		31861321	PMC7022914	Generation of Retinaldehyde for Retinoic Acid Biosynthesis	CLAIM:000058145:0-1	PAIR2:GENE:157506|GENE:195814	CLAIM:000058145	2dfb2d699ba4dcf8fcdf72010ab7ee5947c55ecc	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
224	CKB	1152	9606	EGFR	1956	9606	no_binding	coIP	co-immunoprecipitation	Immunoprecipitation was used to examine whether CKB and EGFR exhibited molecular binding, but no binding was observed, regardless of the presence or absence of EGF treatment (Figure 7G).	Finally, we examined whether CKB and EGFR were physically associated with each other.	However, the DuoLink proximity ligation assay indicated that CKB and EGFR were in close proximity as a signal was generated after EGF treatment (Figure 7H).	37204253	PMC10197964	Role of creatine shuttle in colorectal cancer cells	CLAIM:000107399:0-1	PAIR2:GENE:1152|GENE:1956	CLAIM:000107399	dc97f3891fae34cb17867b91a9fa5b7764849327	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
225	p21	1026	9606	GPX4	2879	9606	no_binding	coIP	Co-IP	In addition, we demonstrated that GPX4 did not interact with p53 or p21 protein in HCT116 and Hela cells using Co-IP methods (Fig.	S2C, D, Supplementary Materials).	4H).	35915092	PMC9343379	Knockdown of RRM1 in tumor cells promotes radio-/chemotherapy induced ferroptosis by regulating p53 ubiquitination and p21-GPX4 signaling axis	CLAIM:000285339:0-1	PAIR2:GENE:1026|GENE:2879	CLAIM:000285339	848ddddf00d3974ed0858ef84799734d0b4e638a	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
226	SMC3	100137611	10090	SA1	495133	10090	no_binding	coIP	coimmunoprecipitation	1 B), but coimmunoprecipitation experiments indicated that SA1 is not associated with SMC1 and SMC3 in these fractions (data not shown).	In density gradient centrifugation experiments, SA1 was also found in fractions that contain 9S cohesin (Fig.		11076961	PMC2169443	Characterization of Vertebrate Cohesin Complexes and Their Regulation in Prophase	CLAIM:000335965:0-1	PAIR2:GENE:100137611|GENE:495133	CLAIM:000335965	092eb79bc4ef3e66270b1d125e80fb83b6e4aef3	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
227	BIRC2	329	9606	NAP1L1	4673	9606	no_binding	coIP	Co-immunoprecipitation	Co-immunoprecipitation (Co-IP) assay and mass spectrometry revealed that NAP1L1 and BIRC2 did not bind to each other; however, ubiquitin protein ligase E3 component n-recognin 4 (UBR4) was identified as an intermediate molecule associating NAP1L1 with BIRC2.	Furthermore, BIRC2 was highly expressed in human HCC tissues and promoted the proliferation and apoptotic escape of HCC cells.	Knockdown of NAP1L1 promoted the ubiquitin-mediated degradation of BIRC2 through the ubiquitin-protein junction of UBR4, which in turn inhibited the proliferation and apoptotic escape of HCC cells and exerted anti-tumour effects.	38538582	PMC10973488	NAP1L1 regulates BIRC2 ubiquitination modification via E3 ubiquitin ligase UBR4 and hence determines hepatocellular carcinoma progression	CLAIM:000143532:0-1	PAIR2:GENE:329|GENE:4673	CLAIM:000143532	3cee28dc3a3f9e0bb97ec29856a05e00390291f1	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
228	beta-catenin	1499	9606	HMMR	3161	9606	no_binding	coIP	co-immunoprecipitation	First, co-immunoprecipitation (Co-IP) assay revealed that HMMR does not bind with beta-catenin (Fig.	After confirming that HMMR can regulate the Wnt/beta-catenin signaling pathway, we aimed to further understand the regulatory molecular mechanism of HMMR.	5B).	41083782	PMC12518677	HMMR mediates progression of nasopharyngeal carcinoma by inhibiting FAM83D ubiquitination and activating beta-catenin signaling pathway	CLAIM:000278564:0-1	PAIR2:GENE:1499|GENE:3161	CLAIM:000278564	cb337cf1e555021a08a8a8a183e5f2ea80bec48a	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
229	AR	14149	10090	CRTC1	23373	9606	no_binding	coIP	co-immunoprecipitation	(C) Co-IP assay demonstrating that CRTC1 could not directly interact with AR in granulosa cells.	(B) AR immunoprecipitated CRTC1 in PCOS ovarian tissues.	(D) Co-IP assay showing that CRTC1 could not directly interact with AR in theca cells.	40537816	PMC12178049	Phosphorylation-stabilized CRTC1 cooperates with CBP and androgen receptor to transactivate AMH expression and drive polycystic ovary syndrome	CLAIM:000177680:0-1	PAIR2:GENE:14149|GENE:23373	CLAIM:000177680	987cd205937f1651ba6a7daf1441cea4354e90d2	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
230	HINT2	84681	10090	SLC25A51	92014	10090	no_binding	coIP	co-immunoprecipitation	We performed co-IP and found that HINT2 and SLC25A51 did not bind directly (Supplementary Fig.	Next, we explored the mechanism of HINT2 on promoting SLC25A51 expression in mitochondria.	6j).	40307568	PMC12130462	Histidine triad nucleotide-binding protein 2 attenuates metabolic dysfunction-associated steatotic liver disease through NAD+-dependent sirtuin-3 activation	CLAIM:000179455:0-1	PAIR2:GENE:84681|GENE:92014	CLAIM:000179455	cbe0fb255d09264e93a94fb016237087f074a029	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
232	tau	4137	9606	BSN	8927	10090	no_binding	coIP	co-immunoprecipitation	We then confirmed by co-IP that, in both tauopathies, BSN interacts with tau in fraction 9 but does not interact with tau in fraction 9 from age-matched controls (Fig.	2f).	2h).	36344699	PMC9708566	Bassoon contributes to tau-seed propagation and neurotoxicity	CLAIM:000126926:0-1	PAIR2:GENE:4137|GENE:8927	CLAIM:000126926	107e00d133f36056e04d103a7e5e42ba156fba98	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
233	HK II	3099	9606	mTOR	56717	10090	no_binding	coIP	Co-immunoprecipitation	Co-immunoprecipitation (Co-IP) analysis in MCF-7 cells showed that mTOR did not interact with HK II in sham radiation control cells, but indeed, the mTOR and HK II complex was detected 24 h post-irradiation, the same time point where a switch in energy metabolism from aerobic glycolysis to OXPHOS was detected in MCF-7 cells (Fig.	We hypothesized that radiation may trigger an interaction between mTOR and HK II to regulate bioenergetics.	6A).	25807077	PMC4373728	Tumor Cells Switch to Mitochondrial Oxidative Phosphorylation under Radiation via mTOR-Mediated Hexokinase II Inhibition - A Warburg-Reversing Effect	CLAIM:000157711:0-1	PAIR2:GENE:3099|GENE:56717	CLAIM:000157711	ce0a88440f6995c829bb96d5c3e548f45686b3d9	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
234	CDKN2A	1029	9606	MUC20	200958	9606	no_binding	coIP	co-immunoprecipitation	Co-IP results showed that MUC20 could not bind with CDKN2A in PI-resistant KAS-6/1 and U266 cells (Supplementary Figure S7A and B), suggesting MUC20 should regulate CDKN2A expression by other proteins in MM cells.		Previous studies have revealed that MUC20 associates with MET to regulate the phosphorylation and activation of MET downstream proteins.	38439082	PMC10913264	MUC20 regulated by extrachromosomal circular DNA attenuates proteasome inhibitor resistance of multiple myeloma by modulating cuproptosis	CLAIM:000161720:0-1	PAIR2:GENE:1029|GENE:200958	CLAIM:000161720	4a5905032cda78927fe3b7aa3584e79040a75952	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
235	CD317	684	9606	Calpain 1	823	10090	no_binding	coIP	Co-IP	Considering the published evidence showing that mitochondrial calpain 1, a Ca2+-dependent neutral cysteine protease, can colocalize with AIF, we speculated that AIF or Calpain 1 may be the binding partner of CD317 and tried to confirm this assumption by Co-IP, but as shown in Additional file 1: Figure S4, CD317 did not bind with either AIF or Calpain 1 in both normal and serum-free condition.	To clarify the mechanism underlying this observation, we tried to identify the direct target molecule for CD317.	Further investigations are thus needed to elucidate the bridging molecules between CD317 and AIF.	27444183	PMC4957287	CD317 Promotes the survival of cancer cells through apoptosis-inducing factor	CLAIM:000258186:0-1	PAIR2:GENE:684|GENE:823	CLAIM:000258186	45796280fc38f4ab584b2650e90914c3dadc1cc6	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
236	RIG-I	23586	9606	TRIM24	8805	9606	no_binding	coIP	coimmunoprecipitation	In addition, the results from the coimmunoprecipitation experiment confirmed that TRIM24 did not bind with overexpressed RIG-I, MAVS, TBK1, or IRF3 in HEK293T cells (Fig.	5 B).	5 C).	32324863	PMC7336305	TRIM24 facilitates antiviral immunity through mediating K63-linked TRAF3 ubiquitination	CLAIM:000308200:0-1	PAIR2:GENE:23586|GENE:8805	CLAIM:000308200	b68638562da9f4ffe2ee5648e620d23d74312a14	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
237	IKKalpha	1147	9606	OTUD5	55593	10090	no_binding	coIP	co-immunoprecipitation	The Co-IP analysis demonstrated that TAK1, IKKalpha, IKKbeta, and IKKgamma did not interact with OTUD5 (Fig.	Furthermore, plasmids encoding Transforming growth factor-beta (TGF-beta)-activated kinase 1 (TAK1), IkappaB kinase alpha (IKKalpha), IkappaB kinase beta (IKKbeta), and IkappaB kinase gamma (IKKgamma, also known as NEMO), downstream molecules of the TLR/IL-1R signaling, and OTUD5, were transfected into HEK293T cells.	2E).	38605168	PMC11164869	OTUD5 promotes the inflammatory immune response by enhancing MyD88 oligomerization and Myddosome formation	CLAIM:000179277:0-1	PAIR2:GENE:1147|GENE:55593	CLAIM:000179277	4ebe4c7bf8fc3608e959973c511f7829ca78af1d	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
238	Clusterin	1191	9606	SREBP-1c	6720	9606	no_binding	coIP	co-immunoprecipitation	However, CO-IP showed no binding between Clusterin and SREBP-1c in cells (Supplementary Fig.	S4h).	S4i).	33649289	PMC7921554	Metformin targets Clusterin to control lipogenesis and inhibit the growth of bladder cancer cells through SREBP-1c/FASN axis	CLAIM:000215387:0-1	PAIR2:GENE:1191|GENE:6720	CLAIM:000215387	23d0e16820340eaf6de5cf44e70ed8a2a4fefc0b	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
240	caspase-1	12362	10090	GSDMD	69146	10090	no_binding	coIP	Co-IP	(D) Validation of the binding between GSDMD and Sulfa-4 by Co-IP: Sulfa-4 could directly bind to GSDMD, which had no binding relationship with Caspase-1.	Comparison with the DMSO group, *p < 0.05.	(E-F) Validation of the binding between GSDMD and Sulfa-4 by pull-down assay: Sulfa-4 could directly bind to GSDMD	34632701	PMC8581306	Mafenide derivatives inhibit neuroinflammation in Alzheimer's disease by regulating pyroptosis	CLAIM:000339668:0-1	PAIR2:GENE:12362|GENE:69146	CLAIM:000339668	ac63875e18755f7ffbf4c6439526b38d99a6f957	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
241	CD317	684	9606	AIF	9131	9606	no_binding	coIP	Co-IP	Considering the published evidence showing that mitochondrial calpain 1, a Ca2+-dependent neutral cysteine protease, can colocalize with AIF, we speculated that AIF or Calpain 1 may be the binding partner of CD317 and tried to confirm this assumption by Co-IP, but as shown in Additional file 1: Figure S4, CD317 did not bind with either AIF or Calpain 1 in both normal and serum-free condition.	To clarify the mechanism underlying this observation, we tried to identify the direct target molecule for CD317.	Further investigations are thus needed to elucidate the bridging molecules between CD317 and AIF.	27444183	PMC4957287	CD317 Promotes the survival of cancer cells through apoptosis-inducing factor	CLAIM:000258187:0-1	PAIR2:GENE:684|GENE:9131	CLAIM:000258187	bff5ffb1d2ceec4afd3d569e5a5e44003f8939a5	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
242	EMR1	2015	9606	JAK2	484185	9606	no_binding	coIP	Co-IP	The Co-IP experiments revealed binding between EMR1 and JAK2 in EMR1+ CC cells and no binding between EMR1 and JAK2 in EMR1KO CC cells.	(Figure 4J,K).	Upon coculture with macrophages, EMR1 IP binding with the JAK2 protein increased in EMR1+ CC cells compared to culture without macrophages.	38673975	PMC11050366	Upregulation of EMR1 (ADGRE1) by Tumor-Associated Macrophages Promotes Colon Cancer Progression by Activating the JAK2/STAT1,3 Signaling Pathway in Tumor Cells	CLAIM:000073935:0-1	PAIR2:GENE:2015|GENE:484185	CLAIM:000073935	4bab970e8b4045d08255aa310bcae374f6516365	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
243	Nav1.8	20264	10090	DOCK4	238130	10090	no_binding	coIP	co-immunoprecipitation	In co-IP experiments utilizing the DOCK4 antibody for pull-down, a potential interaction between DOCK4 and Nav1.7 was observed, with no detectable binding to TRPV1, TRPA1, TRPM3, Nav1.6, Nav1.8, and Nav1.9 in mouse DRG protein extracts (Fig.	To investigate the underlying mechanism by which DOCK4 controls pain sensation, we employed the co-immunoprecipitation (co-IP) method to examine the interactions between DOCK4 and key channels involved in pain signaling, including TRP channels (such as TRPV1, TRPA1, and TRPM3) and Nav channels (such as Nav1.6, Nav1.7, Nav1.8, and Nav1.9) in the DRG.	5a-d).	40759894	PMC12322138	Histone lactylation regulates DOCK4 to control heat nociception and supports Dynein-mediated Nav1.7 trafficking	CLAIM:000171924:0-1	PAIR2:GENE:20264|GENE:238130	CLAIM:000171924	3aed5e4b8017df84a0b094deb2c649dd2d46c355	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
244	TBK1	29110	9606	TRIM24	8805	9606	no_binding	coIP	coimmunoprecipitation	In addition, the results from the coimmunoprecipitation experiment confirmed that TRIM24 did not bind with overexpressed RIG-I, MAVS, TBK1, or IRF3 in HEK293T cells (Fig.	5 B).	5 C).	32324863	PMC7336305	TRIM24 facilitates antiviral immunity through mediating K63-linked TRAF3 ubiquitination	CLAIM:000308202:0-1	PAIR2:GENE:29110|GENE:8805	CLAIM:000308202	6c758805f3788a3e7ec0e7a803eb63bf0b84f801	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
245	TCF7L2	395508	10090	LSD1	99982	10090	no_binding	coIP	co-immunoprecipitation	Co-IP indicated that LSD1 did not bind to TCF7L2, whereas beta-catenin did bind to TCF7L2 (Fig.	To test this hypothesis, DF1 cells and PGCs were co-transfected with LSD1-Flag, TCF7L2-Myc and beta-catenin vectors.	5D; ).	33443086	PMC7875490	BMP4 activates the Wnt-Lin28A-Blimp1-Wnt pathway to promote primordial germ cell formation via altering H3K4me2	CLAIM:000240045:0-1	PAIR2:GENE:395508|GENE:99982	CLAIM:000240045	b731c7a081ea767ac998d33c8c1e6d8508073161	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
246	HK II	15277	10090	mTOR	56717	10090	no_binding	coIP	Co-immunoprecipitation	Co-immunoprecipitation (Co-IP) analysis in MCF-7 cells showed that mTOR did not interact with HK II in sham radiation control cells, but indeed, the mTOR and HK II complex was detected 24 h post-irradiation, the same time point where a switch in energy metabolism from aerobic glycolysis to OXPHOS was detected in MCF-7 cells (Fig.	We hypothesized that radiation may trigger an interaction between mTOR and HK II to regulate bioenergetics.	6A).	25807077	PMC4373728	Tumor Cells Switch to Mitochondrial Oxidative Phosphorylation under Radiation via mTOR-Mediated Hexokinase II Inhibition - A Warburg-Reversing Effect	CLAIM:000157710:0-1	PAIR2:GENE:15277|GENE:56717	CLAIM:000157710	646c889c98e58c49b1327d999a771e340b5031c5	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
247	CXCR4	60628	9606	MIF	81683	10116	no_binding	coIP	pull-down	"Most of the bladder MIF did not stick to the CXCR4 antibody column (""Flow-through"") and is not associated with CXCR4."	"CXCR4 antisera was used to ""pull-down"" CXCR4 complexes in bladder homogenates followed by MIF Western-blotting to detect CXCR4-MIF complexes. ""Flow through"" refers to fractions that did not adhere to the CXCR4 antibody column (and thus do not contain CXCR4-complexes), whereas ""Anti-CXCR4"" refers to fractions eluted from the CXCR4 antibody column (thus containing CXCR4 complexes)."	However, a small amount was found co-immunoprecipitated with CXCR4 in saline-treated rats and these CXCR4-MIF complexes increased after CYP treatment (arrow).	19066630	PMC2588654	Cyclophosphamide-Induced Cystitis Increases Bladder CXCR4 Expression and CXCR4-Macrophage Migration Inhibitory Factor Association	CLAIM:000054567:0-1	PAIR2:GENE:60628|GENE:81683	CLAIM:000054567	02ea24a2628ebcc44ff85a6abc87dbd37679fbe0	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
248	beta2-AR	154	9606	PHD2	54583	9606	no_binding	coIP	coimmunoprecipitation	In addition, consistent with previous study, beta2-AR-PHD2 association was not detected in beta2-AR-293 cells through coimmunoprecipitation experiments (Fig.	S3), a hypoxia indicator, implicating that all of the experiments were performed in the normoxic state and that changes in beta2-AR internalization are not mediated by the actions of HIF-1alpha but are conferred by PHD2.	3A).	21255264	PMC4373440	Prolyl hydroxylase 2: a novel regulator of beta2-adrenoceptor internalization	CLAIM:000166376:0-1	PAIR2:GENE:154|GENE:54583	CLAIM:000166376	b6819d3d9e581b31c0321c79e72d8e467f0a0d5d	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
249	RDH10	157506	9606	retinol dehydrogenase 11	51109	10090	no_binding	coIP	pull-down	Pull-down assays using RDH10 protein as a bait failed to co-immunoprecipitate human RDHE2 or human retinol dehydrogenase 11 (RDH11), an enzyme from a different family of SDRs (SDR7C1), further indicating that the protein-protein interaction between RDH10 and DHRS3 is highly specific for this pair of proteins.	Co-expression of human RDHE2 or murine RDHE2S with human DHRS3, which is 97.7% identical to murine DHRS3, in HEK293 cells had no activating effect on DHRS3.		31861321	PMC7022914	Generation of Retinaldehyde for Retinoic Acid Biosynthesis	CLAIM:000058146:0-1	PAIR2:GENE:157506|GENE:51109	CLAIM:000058146	bab163df050661bab5afdf5265bfefdc548d52f9	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
250	eEF2	29565	10116	Sirt1	309757	10116	no_binding	coIP	co-immunoprecipitation	The reverse experiment, immunoprecipitating eEF2K or eEF2 and immunoblotting with anti-SIRT1 antibodies, confirmed that SIRT1 was not associated with eEF2K or eEF2 in H9c2 cells.	However, neither eEF2K nor eEF2 was found in SIRT1 immunoprecipitates (Figure 7C).		32059483	PMC7072417	SIRT1 Protects the Heart from ER Stress-Induced Injury by Promoting eEF2K/eEF2-Dependent Autophagy	CLAIM:000087063:0-1	PAIR2:GENE:29565|GENE:309757	CLAIM:000087063	3f3905cfda26a6b434ad04f9750606df8e203225	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
251	GPX4	2879	9606	p53	7157	9606	no_binding	coIP	Co-IP	In addition, we demonstrated that GPX4 did not interact with p53 or p21 protein in HCT116 and Hela cells using Co-IP methods (Fig.	S2C, D, Supplementary Materials).	4H).	35915092	PMC9343379	Knockdown of RRM1 in tumor cells promotes radio-/chemotherapy induced ferroptosis by regulating p53 ubiquitination and p21-GPX4 signaling axis	CLAIM:000285338:0-1	PAIR2:GENE:2879|GENE:7157	CLAIM:000285338	8e2173928ce1a1a3e2ea71e2818bf18ced4b11ea	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
252	eEF2K	25435	10090	Sirt1	309757	10116	no_binding	coIP	co-immunoprecipitation	The reverse experiment, immunoprecipitating eEF2K or eEF2 and immunoblotting with anti-SIRT1 antibodies, confirmed that SIRT1 was not associated with eEF2K or eEF2 in H9c2 cells.	However, neither eEF2K nor eEF2 was found in SIRT1 immunoprecipitates (Figure 7C).		32059483	PMC7072417	SIRT1 Protects the Heart from ER Stress-Induced Injury by Promoting eEF2K/eEF2-Dependent Autophagy	CLAIM:000087062:0-1	PAIR2:GENE:25435|GENE:309757	CLAIM:000087062	bf33314db87b055d4cc40abcf2ec963f5af4714b	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
253	Rnd1	493435	10090	BMPR1a	734017	10090	no_binding	coIP	coimmunoprecipitation	In coimmunoprecipitation assays Unc5BDeltaD (which causes deadhesion) interacted robustly with Rnd1, whereas Unc5BDeltaC (not causing deadhesion, see Figure 2A), as well as an unrelated receptor (BMPR1a) did not interact with Rnd1 (Figure 5A).		The specificity of the Unc5B-Rnd1 interaction was corroborated by the lack of Unc5B binding to the related small GTPase RhoA (Figure 5B).	19492039	PMC2683942	Unc5B Interacts with FLRT3 and Rnd1 to Modulate Cell Adhesion in Xenopus Embryos	CLAIM:000239330:0-1	PAIR2:GENE:493435|GENE:734017	CLAIM:000239330	0384401f1f77a98361da05fd490ad6009f64b9d1	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
254	SUFU	51684	9606	SPOP	8405	9606	no_binding	coIP	Coimmunoprecipitation	Coimmunoprecipitation (Co-IP) data showed that SPOP failed to bind to SUFU, but it bound to GLI3, which had been proven to be a substrate of SPOP (Fig.	To investigate whether SPOP forms a complex with SUFU, we co-expressed SPOP and SUFU in 293T cells.	3A).	34021128	PMC8140158	SPOP-PTEN-SUFU axis promotes progression of clear cell renal cell carcinoma via activating SHH and WNT pathway	CLAIM:000046469:0-1	PAIR2:GENE:51684|GENE:8405	CLAIM:000046469	4342db30e208d83dbe07dfaac0d14b3df49e52a6	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0
