panel	dataset	score
6b	Structural noncontact	0.963283
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.000916
6b	Structural noncontact	0.007095
6b	Structural noncontact	0.286168
6b	Structural noncontact	0.006082
6b	Structural noncontact	0.999082
6b	Structural noncontact	0.999706
6b	Structural noncontact	0.189634
6b	Structural noncontact	0.996089
6b	Structural noncontact	0.999726
6b	Structural noncontact	0.00198
6b	Structural noncontact	7.2e-05
6b	Structural noncontact	0.313668
6b	Structural noncontact	0.999414
6b	Structural noncontact	7.5e-05
6b	Structural noncontact	0.999844
6b	Structural noncontact	0.999907
6b	Structural noncontact	0.999679
6b	Structural noncontact	0.001156
6b	Structural noncontact	0.627629
6b	Structural noncontact	0.99991
6b	Structural noncontact	0.983509
6b	Structural noncontact	0.999797
6b	Structural noncontact	0.737911
6b	Structural noncontact	0.997363
6b	Structural noncontact	0.026183
6b	Structural noncontact	0.542207
6b	Structural noncontact	0.988015
6b	Structural noncontact	0.218938
6b	Structural noncontact	0.999925
6b	Structural noncontact	0.999456
6b	Structural noncontact	0.507796
6b	Structural noncontact	0.990343
6b	Structural noncontact	0.999879
6b	Structural noncontact	0.999795
6b	Structural noncontact	0.423186
6b	Structural noncontact	0.142726
6b	Structural noncontact	0.999927
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.006824
6b	Structural noncontact	0.214431
6b	Structural noncontact	0.99943
6b	Structural noncontact	0.999074
6b	Structural noncontact	0.999942
6b	Structural noncontact	0.237953
6b	Structural noncontact	0.000919
6b	Structural noncontact	0.999941
6b	Structural noncontact	0.991829
6b	Structural noncontact	0.999599
6b	Structural noncontact	0.010291
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.000635
6b	Structural noncontact	0.999931
6b	Structural noncontact	0.058666
6b	Structural noncontact	0.99994
6b	Structural noncontact	0.999952
6b	Structural noncontact	0.999462
6b	Structural noncontact	0.919961
6b	Structural noncontact	0.99994
6b	Structural noncontact	0.99993
6b	Structural noncontact	0.999928
6b	Structural noncontact	0.999894
6b	Structural noncontact	0.030163
6b	Structural noncontact	0.949838
6b	Structural noncontact	0.000609
6b	Structural noncontact	0.998095
6b	Structural noncontact	0.9982
6b	Structural noncontact	0.999841
6b	Structural noncontact	0.999161
6b	Structural noncontact	0.980682
6b	Structural noncontact	0.999327
6b	Structural noncontact	0.998909
6b	Structural noncontact	0.954505
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.999912
6b	Structural noncontact	0.999759
6b	Structural noncontact	0.001602
6b	Structural noncontact	0.700506
6b	Structural noncontact	0.913089
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.700789
6b	Structural noncontact	0.946447
6b	Structural noncontact	0.00049
6b	Structural noncontact	0.992981
6b	Structural noncontact	0.99298
6b	Structural noncontact	0.008792
6b	Structural noncontact	0.99744
6b	Structural noncontact	0.99991
6b	Structural noncontact	0.625522
6b	Structural noncontact	0.999868
6b	Structural noncontact	0.611113
6b	Structural noncontact	0.415662
6b	Structural noncontact	0.999081
6b	Structural noncontact	0.999911
6b	Structural noncontact	0.97699
6b	Structural noncontact	0.999629
6b	Structural noncontact	0.191654
6b	Structural noncontact	7.1e-05
6b	Structural noncontact	0.999423
6b	Structural noncontact	0.998772
6b	Structural noncontact	0.619464
6b	Structural noncontact	0.999272
6b	Structural noncontact	0.997193
6b	Structural noncontact	0.999446
6b	Structural noncontact	0.999933
6b	Structural noncontact	0.999901
6b	Structural noncontact	0.999527
6b	Structural noncontact	0.999931
6b	Structural noncontact	0.179876
6b	Structural noncontact	0.999809
6b	Structural noncontact	0.997989
6b	Structural noncontact	0.992623
6b	Structural noncontact	0.014284
6b	Structural noncontact	0.980969
6b	Structural noncontact	0.999577
6b	Structural noncontact	0.999823
6b	Structural noncontact	0.000185
6b	Structural noncontact	0.999457
6b	Structural noncontact	0.939201
6b	Structural noncontact	0.016379
6b	Structural noncontact	0.9999
6b	Structural noncontact	0.998306
6b	Structural noncontact	0.999862
6b	Structural noncontact	0.991347
6b	Structural noncontact	0.869428
6b	Structural noncontact	0.999822
6b	Structural noncontact	0.077948
6b	Structural noncontact	0.993812
6b	Structural noncontact	0.000319
6b	Structural noncontact	0.00342
6b	Structural noncontact	0.999922
6b	Structural noncontact	0.999319
6b	Structural noncontact	0.007054
6b	Structural noncontact	0.00039
6b	Structural noncontact	0.999817
6b	Structural noncontact	0.999606
6b	Structural noncontact	0.999408
6b	Structural noncontact	0.999915
6b	Structural noncontact	0.997704
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.000214
6b	Structural noncontact	0.99708
6b	Structural noncontact	0.999871
6b	Structural noncontact	0.979024
6b	Structural noncontact	0.99952
6b	Structural noncontact	0.995793
6b	Structural noncontact	0.999049
6b	Structural noncontact	0.999493
6b	Structural noncontact	0.116393
6b	Structural noncontact	0.999935
6b	Structural noncontact	0.997646
6b	Structural noncontact	0.999792
6b	Structural noncontact	0.999607
6b	Structural noncontact	0.007162
6b	Structural noncontact	0.999845
6b	Structural noncontact	0.000275
6b	Structural noncontact	0.99991
6b	Structural noncontact	0.999482
6b	Structural noncontact	0.629013
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.99277
6b	Structural noncontact	0.999089
6b	Structural noncontact	0.999914
6b	Structural noncontact	0.999654
6b	Structural noncontact	0.011365
6b	Structural noncontact	0.999945
6b	Structural noncontact	0.295257
6b	Structural noncontact	0.978119
6b	Structural noncontact	0.999722
6b	Structural noncontact	6.2e-05
6b	Structural noncontact	0.997066
6b	Structural noncontact	0.99829
6b	Structural noncontact	0.144812
6b	Structural noncontact	0.999423
6b	Structural noncontact	0.656509
6b	Structural noncontact	0.988757
6b	Structural noncontact	0.999941
6b	Structural noncontact	0.999605
6b	Structural noncontact	0.999934
6b	Structural noncontact	0.00121
6b	Structural noncontact	0.999175
6b	Structural noncontact	0.996716
6b	Structural noncontact	0.000411
6b	Structural noncontact	0.997776
6b	Structural noncontact	0.998984
6b	Structural noncontact	0.999852
6b	Structural noncontact	0.003528
6b	Structural noncontact	0.999613
6b	Structural noncontact	0.009952
6b	Structural noncontact	0.850174
6b	Structural noncontact	0.549795
6b	Structural noncontact	0.997546
6b	Structural noncontact	0.999431
6b	Structural noncontact	0.592457
6b	Structural noncontact	0.999889
6b	Structural noncontact	0.987814
6b	Structural noncontact	0.992402
6b	Structural noncontact	0.99946
6b	Structural noncontact	6.3e-05
6b	Structural noncontact	0.476966
6b	Structural noncontact	0.109576
6b	Structural noncontact	0.997521
6b	Structural noncontact	0.001645
6b	Structural noncontact	0.867348
6b	Structural noncontact	0.999014
6b	Structural noncontact	0.880351
6b	Structural noncontact	0.003991
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.999734
6b	Structural noncontact	0.538544
6b	Structural noncontact	0.00015
6b	Structural noncontact	0.995389
6b	Structural noncontact	0.030953
6b	Structural noncontact	0.998556
6b	Structural noncontact	0.301215
6b	Structural noncontact	0.999897
6b	Structural noncontact	0.000567
6b	Structural noncontact	0.99992
6b	Structural noncontact	0.999867
6b	Structural noncontact	0.016302
6b	Structural noncontact	0.138187
6b	Structural noncontact	0.011705
6b	Structural noncontact	0.999642
6b	Structural noncontact	0.999103
6b	Structural noncontact	0.99969
6b	Structural noncontact	0.998084
6b	Structural noncontact	0.998285
6b	Structural noncontact	0.969891
6b	Structural noncontact	0.999768
6b	Structural noncontact	0.00109
6b	Structural noncontact	0.955445
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.002688
6b	Structural noncontact	0.016551
6b	Structural noncontact	0.999901
6b	Structural noncontact	0.016288
6b	Structural noncontact	0.000818
6b	Structural noncontact	0.999822
6b	Structural noncontact	0.966371
6b	Structural noncontact	0.994943
6b	Structural noncontact	0.00055
6b	Structural noncontact	0.29733
6b	Structural noncontact	0.850738
6b	Structural noncontact	0.098737
6b	Structural noncontact	0.005494
6b	Structural noncontact	0.999779
6b	Structural noncontact	0.999922
6b	Structural noncontact	0.067339
6b	Structural noncontact	0.018628
6b	Structural noncontact	0.999925
6b	Structural noncontact	0.999942
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.997986
6b	Structural noncontact	0.000783
6b	Structural noncontact	0.728931
6b	Structural noncontact	0.999911
6b	Structural noncontact	0.002738
6b	Structural noncontact	0.921304
6b	Structural noncontact	0.999882
6b	Structural noncontact	0.002702
6b	Structural noncontact	0.999928
6b	Structural noncontact	0.998457
6b	Structural noncontact	0.999799
6b	Structural noncontact	0.999329
6b	Structural noncontact	0.999037
6b	Structural noncontact	0.58787
6b	Structural noncontact	0.999773
6b	Structural noncontact	0.420297
6b	Structural noncontact	0.999933
6b	Structural noncontact	0.999658
6b	Structural noncontact	0.038093
6b	Structural noncontact	0.933491
6b	Structural noncontact	0.004055
6b	Structural noncontact	0.999745
6b	Structural noncontact	0.001057
6b	Structural noncontact	0.9999
6b	Structural noncontact	0.001337
6b	Structural noncontact	0.000406
6b	Structural noncontact	0.999499
6b	Structural noncontact	0.99591
6b	Structural noncontact	0.995145
6b	Structural noncontact	0.999554
6b	Structural noncontact	0.999948
6b	Structural noncontact	0.000119
6b	Structural noncontact	0.99989
6b	Structural noncontact	0.9643
6b	Structural noncontact	0.000193
6b	Structural noncontact	0.011444
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.000766
6b	Structural noncontact	0.000106
6b	Structural noncontact	0.271751
6b	Structural noncontact	0.99931
6b	Structural noncontact	0.996551
6b	Structural noncontact	0.0006
6b	Structural noncontact	0.047754
6b	Structural noncontact	0.987986
6b	Structural noncontact	0.999474
6b	Structural noncontact	0.999835
6b	Structural noncontact	0.99962
6b	Structural noncontact	0.001656
6b	Structural noncontact	0.999389
6b	Structural noncontact	0.013401
6b	Structural noncontact	0.988539
6b	Structural noncontact	0.059638
6b	Structural noncontact	0.735984
6b	Structural noncontact	0.999717
6b	Structural noncontact	0.101584
6b	Structural noncontact	0.998647
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.036179
6b	Structural noncontact	0.999921
6b	Structural noncontact	8.2e-05
6b	Structural noncontact	0.999084
6b	Structural noncontact	0.999834
6b	Structural noncontact	0.999941
6b	Structural noncontact	0.483027
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.000326
6b	Structural noncontact	0.983249
6b	Structural noncontact	0.999831
6b	Structural noncontact	0.897135
6b	Structural noncontact	0.0013
6b	Structural noncontact	0.026229
6b	Structural noncontact	0.016458
6b	Structural noncontact	0.998939
6b	Structural noncontact	0.000445
6b	Structural noncontact	0.999808
6b	Structural noncontact	0.00036
6b	Structural noncontact	0.999037
6b	Structural noncontact	0.731248
6b	Structural noncontact	0.999622
6b	Structural noncontact	0.999718
6b	Structural noncontact	0.999542
6b	Structural noncontact	0.998814
6b	Structural noncontact	0.002514
6b	Structural noncontact	0.99962
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.999589
6b	Structural noncontact	0.999945
6b	Structural noncontact	0.012429
6b	Structural noncontact	0.999579
6b	Structural noncontact	0.999578
6b	Structural noncontact	0.999787
6b	Structural noncontact	0.999857
6b	Structural noncontact	0.779359
6b	Structural noncontact	0.004063
6b	Structural noncontact	0.001742
6b	Structural noncontact	0.990084
6b	Structural noncontact	0.997291
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.013035
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.030599
6b	Structural noncontact	0.999908
6b	Structural noncontact	0.996833
6b	Structural noncontact	0.014438
6b	Structural noncontact	0.999913
6b	Structural noncontact	0.999896
6b	Structural noncontact	0.02879
6b	Structural noncontact	0.05163
6b	Structural noncontact	0.008821
6b	Structural noncontact	0.999684
6b	Structural noncontact	0.999939
6b	Structural noncontact	0.999699
6b	Structural noncontact	0.99943
6b	Structural noncontact	0.999863
6b	Structural noncontact	0.999783
6b	Structural noncontact	0.691589
6b	Structural noncontact	0.999879
6b	Structural noncontact	0.940133
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.999889
6b	Structural noncontact	0.997458
6b	Structural noncontact	0.989449
6b	Structural noncontact	0.999743
6b	Structural noncontact	0.035257
6b	Structural noncontact	0.009381
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.021671
6b	Structural noncontact	0.190529
6b	Structural noncontact	0.965303
6b	Structural noncontact	0.002688
6b	Structural noncontact	0.999781
6b	Structural noncontact	0.998684
6b	Structural noncontact	0.99965
6b	Structural noncontact	0.055013
6b	Structural noncontact	0.981109
6b	Structural noncontact	0.999939
6b	Structural noncontact	0.021528
6b	Structural noncontact	0.998039
6b	Structural noncontact	0.952723
6b	Structural noncontact	0.865062
6b	Structural noncontact	0.999896
6b	Structural noncontact	0.999909
6b	Structural noncontact	0.125639
6b	Structural noncontact	0.999733
6b	Structural noncontact	0.999947
6b	Structural noncontact	0.996427
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.928161
6b	Structural noncontact	0.865218
6b	Structural noncontact	0.009174
6b	Structural noncontact	0.772264
6b	Structural noncontact	0.535653
6b	Structural noncontact	0.999889
6b	Structural noncontact	0.999906
6b	Structural noncontact	0.999915
6b	Structural noncontact	0.996603
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.001758
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.999907
6b	Structural noncontact	0.999795
6b	Structural noncontact	0.999912
6b	Structural noncontact	0.001102
6b	Structural noncontact	0.989981
6b	Structural noncontact	0.947847
6b	Structural noncontact	0.999682
6b	Structural noncontact	0.998637
6b	Structural noncontact	0.999627
6b	Structural noncontact	0.999925
6b	Structural noncontact	0.980573
6b	Structural noncontact	0.999921
6b	Structural noncontact	0.996988
6b	Structural noncontact	0.999678
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.999719
6b	Structural noncontact	0.999534
6b	Structural noncontact	0.998281
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.998959
6b	Structural noncontact	0.000184
6b	Structural noncontact	0.999849
6b	Structural noncontact	0.999741
6b	Structural noncontact	0.999732
6b	Structural noncontact	0.999894
6b	Structural noncontact	0.993995
6b	Structural noncontact	0.997034
6b	Structural noncontact	0.001152
6b	Structural noncontact	0.000235
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.999824
6b	Structural noncontact	7.3e-05
6b	Structural noncontact	0.994941
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.076287
6b	Structural noncontact	0.915707
6b	Structural noncontact	0.858397
6b	Structural noncontact	0.999678
6b	Structural noncontact	0.999905
6b	Structural noncontact	0.997364
6b	Structural noncontact	0.994442
6b	Structural noncontact	0.997607
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.999596
6b	Structural noncontact	0.99991
6b	Structural noncontact	0.999703
6b	Structural noncontact	0.999888
6b	Structural noncontact	0.999787
6b	Structural noncontact	0.04486
6b	Structural noncontact	0.978809
6b	Structural noncontact	0.998689
6b	Structural noncontact	0.993238
6b	Structural noncontact	0.999481
6b	Structural noncontact	0.994602
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.955621
6b	Structural noncontact	0.000148
6b	Structural noncontact	0.268805
6b	Structural noncontact	0.000607
6b	Structural noncontact	0.999671
6b	Structural noncontact	0.998482
6b	Structural noncontact	0.009979
6b	Structural noncontact	0.999921
6b	Structural noncontact	0.99114
6b	Structural noncontact	0.573675
6b	Structural noncontact	0.01631
6b	Structural noncontact	0.989948
6b	Structural noncontact	0.974603
6b	Structural noncontact	0.990942
6b	Structural noncontact	0.968436
6b	Structural noncontact	0.999929
6b	Structural noncontact	0.999893
6b	Structural noncontact	0.992363
6b	Structural noncontact	0.999804
6b	Structural noncontact	0.998387
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.99974
6b	Structural noncontact	0.9996
6b	Structural noncontact	0.992405
6b	Structural noncontact	0.000529
6b	Structural noncontact	0.979506
6b	Structural noncontact	0.994782
6b	Structural noncontact	0.006488
6b	Structural noncontact	0.99606
6b	Structural noncontact	0.996846
6b	Structural noncontact	0.003817
6b	Structural noncontact	0.004706
6b	Structural noncontact	0.004705
6b	Structural noncontact	0.992402
6b	Structural noncontact	0.9451
6b	Structural noncontact	0.996567
6b	Structural noncontact	0.999127
6b	Structural noncontact	0.95176
6b	Structural noncontact	0.999609
6b	Structural noncontact	0.000437
6b	Structural noncontact	0.985807
6b	Structural noncontact	0.999816
6b	Structural noncontact	0.999828
6b	Structural noncontact	0.999151
6b	Structural noncontact	0.999173
6b	Structural noncontact	0.999916
6b	Structural noncontact	0.999649
6b	Structural noncontact	0.993538
6b	Structural noncontact	0.572483
6b	Structural noncontact	0.909124
6b	Structural noncontact	0.993542
6b	Structural noncontact	0.024017
6b	Structural noncontact	0.999779
6b	Structural noncontact	0.982079
6b	Structural noncontact	0.999516
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.977999
6b	Structural noncontact	0.999908
6b	Structural noncontact	0.999922
6b	Structural noncontact	0.999931
6b	Structural noncontact	0.026704
6b	Structural noncontact	0.999912
6b	Structural noncontact	0.742027
6b	Structural noncontact	0.482042
6b	Structural noncontact	0.998632
6b	Structural noncontact	0.402768
6b	Structural noncontact	0.999792
6b	Structural noncontact	0.135752
6b	Structural noncontact	0.999945
6b	Structural noncontact	0.999886
6b	Structural noncontact	0.991738
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.067372
6b	Structural noncontact	0.999527
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.999929
6b	Structural noncontact	0.999934
6b	Structural noncontact	0.035899
6b	Structural noncontact	0.000137
6b	Structural noncontact	0.999733
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.00207
6b	Structural noncontact	0.999865
6b	Structural noncontact	0.998494
6b	Structural noncontact	0.999802
6b	Structural noncontact	0.00701
6b	Structural noncontact	0.925061
6b	Structural noncontact	0.999855
6b	Structural noncontact	0.991974
6b	Structural noncontact	0.99982
6b	Structural noncontact	0.999055
6b	Structural noncontact	0.0002
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.973732
6b	Structural noncontact	0.999298
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.639692
6b	Structural noncontact	0.999913
6b	Structural noncontact	0.000719
6b	Structural noncontact	0.99937
6b	Structural noncontact	0.991369
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.999768
6b	Structural noncontact	0.999924
6b	Structural noncontact	0.80586
6b	Structural noncontact	0.00013
6b	Structural noncontact	0.999915
6b	Structural noncontact	0.004071
6b	Structural noncontact	0.000349
6b	Structural noncontact	0.029194
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.000513
6b	Structural noncontact	0.998539
6b	Structural noncontact	0.997929
6b	Structural noncontact	0.974708
6b	Structural noncontact	0.974886
6b	Structural noncontact	0.995342
6b	Structural noncontact	0.999195
6b	Structural noncontact	0.000954
6b	Structural noncontact	0.006152
6b	Structural noncontact	0.000368
6b	Structural noncontact	0.999905
6b	Structural noncontact	0.999824
6b	Structural noncontact	0.999769
6b	Structural noncontact	0.9998
6b	Structural noncontact	0.000602
6b	Structural noncontact	0.998203
6b	Structural noncontact	0.996776
6b	Structural noncontact	0.006379
6b	Structural noncontact	0.636576
6b	Structural noncontact	0.989214
6b	Structural noncontact	0.876702
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.725419
6b	Structural noncontact	0.788229
6b	Structural noncontact	0.996276
6b	Structural noncontact	0.999907
6b	Structural noncontact	0.0002
6b	Structural noncontact	0.890167
6b	Structural noncontact	0.99984
6b	Structural noncontact	0.999872
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.997081
6b	Structural noncontact	0.99992
6b	Structural noncontact	0.999693
6b	Structural noncontact	0.97031
6b	Structural noncontact	0.002579
6b	Structural noncontact	0.99951
6b	Structural noncontact	0.999863
6b	Structural noncontact	0.601023
6b	Structural noncontact	0.999284
6b	Structural noncontact	0.746668
6b	Structural noncontact	0.999871
6b	Structural noncontact	0.995367
6b	Structural noncontact	0.998632
6b	Structural noncontact	0.995738
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.068979
6b	Structural noncontact	0.002013
6b	Structural noncontact	0.99954
6b	Structural noncontact	0.002803
6b	Structural noncontact	0.311985
6b	Structural noncontact	0.909263
6b	Structural noncontact	0.95116
6b	Structural noncontact	0.683248
6b	Structural noncontact	0.86038
6b	Structural noncontact	0.642724
6b	Structural noncontact	0.99994
6b	Structural noncontact	0.999327
6b	Structural noncontact	0.011293
6b	Structural noncontact	0.999883
6b	Structural noncontact	0.001503
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.018886
6b	Structural noncontact	0.999948
6b	Structural noncontact	0.000541
6b	Structural noncontact	0.999531
6b	Structural noncontact	0.736099
6b	Structural noncontact	0.998405
6b	Structural noncontact	0.034966
6b	Structural noncontact	0.999707
6b	Structural noncontact	0.999913
6b	Structural noncontact	0.999911
6b	Structural noncontact	0.843584
6b	Structural noncontact	0.999849
6b	Structural noncontact	0.999517
6b	Structural noncontact	0.95401
6b	Structural noncontact	0.002012
6b	Structural noncontact	0.997232
6b	Structural noncontact	0.006876
6b	Structural noncontact	0.593929
6b	Structural noncontact	0.999905
6b	Structural noncontact	0.9999
6b	Structural noncontact	0.998978
6b	Structural noncontact	0.999379
6b	Structural noncontact	0.99983
6b	Structural noncontact	0.999826
6b	Structural noncontact	0.999572
6b	Structural noncontact	0.994559
6b	Structural noncontact	0.999929
6b	Structural noncontact	0.99635
6b	Structural noncontact	0.976218
6b	Structural noncontact	0.993244
6b	Structural noncontact	0.90511
6b	Structural noncontact	0.998814
6b	Structural noncontact	6.6e-05
6b	Structural noncontact	0.998522
6b	Structural noncontact	0.999701
6b	Structural noncontact	0.000119
6b	Structural noncontact	0.999899
6b	Structural noncontact	0.996395
6b	Structural noncontact	0.998996
6b	Structural noncontact	0.527573
6b	Structural noncontact	0.999646
6b	Structural noncontact	0.999899
6b	Structural noncontact	0.952079
6b	Structural noncontact	0.035596
6b	Structural noncontact	0.683587
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.994593
6b	Structural noncontact	0.993704
6b	Structural noncontact	0.996172
6b	Structural noncontact	0.589735
6b	Structural noncontact	0.837443
6b	Structural noncontact	0.999848
6b	Structural noncontact	0.99992
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.999853
6b	Structural noncontact	0.022134
6b	Structural noncontact	0.999831
6b	Structural noncontact	0.999843
6b	Structural noncontact	0.999801
6b	Structural noncontact	0.999892
6b	Structural noncontact	0.999257
6b	Structural noncontact	7e-05
6b	Structural noncontact	0.999924
6b	Structural noncontact	0.997339
6b	Structural noncontact	0.962995
6b	Structural noncontact	0.999898
6b	Structural noncontact	0.846868
6b	Structural noncontact	0.998357
6b	Structural noncontact	0.001474
6b	Structural noncontact	0.997369
6b	Structural noncontact	0.011133
6b	Structural noncontact	0.000993
6b	Structural noncontact	0.999405
6b	Structural noncontact	0.005685
6b	Structural noncontact	0.950343
6b	Structural noncontact	0.998803
6b	Structural noncontact	0.999832
6b	Structural noncontact	0.047989
6b	Structural noncontact	0.004966
6b	Structural noncontact	0.011753
6b	Structural noncontact	0.97546
6b	Structural noncontact	0.26496
6b	Structural noncontact	0.19962
6b	Structural noncontact	0.988746
6b	Structural noncontact	0.999771
6b	Structural noncontact	0.998
6b	Structural noncontact	0.002967
6b	Structural noncontact	0.989952
6b	Structural noncontact	0.987606
6b	Structural noncontact	0.994352
6b	Structural noncontact	0.998776
6b	Structural noncontact	0.000625
6b	Structural noncontact	0.99931
6b	Structural noncontact	0.999296
6b	Structural noncontact	0.999793
6b	Structural noncontact	0.998481
6b	Structural noncontact	0.999767
6b	Structural noncontact	0.001769
6b	Structural noncontact	0.02965
6b	Structural noncontact	0.070795
6b	Structural noncontact	0.001298
6b	Structural noncontact	0.714753
6b	Structural noncontact	0.999776
6b	Structural noncontact	0.999295
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.999697
6b	Structural noncontact	0.998482
6b	Structural noncontact	0.998987
6b	Structural noncontact	0.057896
6b	Structural noncontact	0.999372
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.999941
6b	Structural noncontact	0.986516
6b	Structural noncontact	0.999851
6b	Structural noncontact	0.979867
6b	Structural noncontact	0.999707
6b	Structural noncontact	0.519211
6b	Structural noncontact	0.90511
6b	Structural noncontact	0.024231
6b	Structural noncontact	0.999887
6b	Structural noncontact	0.998413
6b	Structural noncontact	0.997423
6b	Structural noncontact	0.999407
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.988513
6b	Structural noncontact	0.989654
6b	Structural noncontact	0.999892
6b	Structural noncontact	0.999788
6b	Structural noncontact	0.91538
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.000421
6b	Structural noncontact	0.999836
6b	Structural noncontact	0.00038
6b	Structural noncontact	0.999759
6b	Structural noncontact	5.9e-05
6b	Structural noncontact	0.999828
6b	Structural noncontact	7.4e-05
6b	Structural noncontact	0.997478
6b	Structural noncontact	0.999941
6b	Structural noncontact	0.007747
6b	Structural noncontact	0.069453
6b	Structural noncontact	0.151493
6b	Structural noncontact	0.998528
6b	Structural noncontact	0.003728
6b	Structural noncontact	0.999846
6b	Structural noncontact	0.999946
6b	Structural noncontact	0.877267
6b	Structural noncontact	0.00098
6b	Structural noncontact	0.999819
6b	Structural noncontact	0.042116
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.994414
6b	Structural noncontact	0.999376
6b	Structural noncontact	0.999105
6b	Structural noncontact	0.000391
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.999008
6b	Structural noncontact	0.999703
6b	Structural noncontact	0.986401
6b	Structural noncontact	0.99995
6b	Structural noncontact	0.999941
6b	Structural noncontact	0.00187
6b	Structural noncontact	0.999214
6b	Structural noncontact	0.02091
6b	Structural noncontact	0.999731
6b	Structural noncontact	0.99993
6b	Structural noncontact	0.725538
6b	Structural noncontact	0.997303
6b	Structural noncontact	0.982497
6b	Structural noncontact	0.997071
6b	Structural noncontact	0.999879
6b	Structural noncontact	0.130866
6b	Structural noncontact	0.007686
6b	Structural noncontact	0.999677
6b	Structural noncontact	0.999785
6b	Structural noncontact	0.999945
6b	Structural noncontact	0.998214
6b	Structural noncontact	0.000643
6b	Structural noncontact	0.000161
6b	Structural noncontact	0.999058
6b	Structural noncontact	0.95551
6b	Structural noncontact	0.999886
6b	Structural noncontact	0.999696
6b	Structural noncontact	0.999454
6b	Structural noncontact	0.999942
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.998816
6b	Structural noncontact	0.999907
6b	Structural noncontact	0.999864
6b	Structural noncontact	0.98721
6b	Structural noncontact	0.998537
6b	Structural noncontact	0.975879
6b	Structural noncontact	6e-05
6b	Structural noncontact	0.975384
6b	Structural noncontact	0.999935
6b	Structural noncontact	0.999893
6b	Structural noncontact	0.993904
6b	Structural noncontact	0.999736
6b	Structural noncontact	0.081431
6b	Structural noncontact	0.999925
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.990171
6b	Structural noncontact	0.999945
6b	Structural noncontact	0.999939
6b	Structural noncontact	0.998666
6b	Structural noncontact	0.781191
6b	Structural noncontact	0.983589
6b	Structural noncontact	0.961154
6b	Structural noncontact	0.999847
6b	Structural noncontact	0.005231
6b	Structural noncontact	0.005676
6b	Structural noncontact	0.999812
6b	Structural noncontact	0.413379
6b	Structural noncontact	0.999926
6b	Structural noncontact	0.000286
6b	Structural noncontact	0.999935
6b	Structural noncontact	0.998697
6b	Structural noncontact	0.000707
6b	Structural noncontact	0.000882
6b	Structural noncontact	0.010203
6b	Structural noncontact	0.000189
6b	Structural noncontact	0.998098
6b	Structural noncontact	0.999153
6b	Structural noncontact	0.999596
6b	Structural noncontact	0.897753
6b	Structural noncontact	0.992628
6b	Structural noncontact	0.000365
6b	Structural noncontact	0.999921
